,*,0,1,2,3,4
0,start,0,67,136,47,0
1,10,10,76,139,51,10
2,15,15,79,141,60,15
3,20,20,82,145,64,20
4,25,25,83,147,75,25
5,30,30,84,149,77,30
6,35,35,89,151,77,35
7,40,40,85,156,83,40
8,45,45,85,158,82,45
9,50,50,85,161,87,50
