,*,0,1,2,3,4
0,start,0,57,119,74,0
1,10,10,76,119,78,10
2,15,15,84,123,77,15
3,20,20,90,124,78,20
4,25,25,95,127,80,25
5,30,30,102,129,79,30
6,35,35,110,135,81,35
7,40,40,113,138,82,40
8,45,45,117,141,82,45
9,50,50,126,143,82,50
