,*,0,1,2,3,4
0,start,0,71,119,60,0
1,10,10,85,125,68,10
2,15,15,95,126,69,15
3,20,20,106,127,71,20
4,25,25,112,129,73,25
5,30,30,119,131,74,30
6,35,35,126,137,73,35
7,40,40,130,139,75,40
8,45,45,136,141,76,45
9,50,50,144,143,77,50
