,*,0,1,2,3,4
0,start,0,69,127,54,0
1,10,10,87,131,57,10
2,15,15,93,134,59,15
3,20,20,103,138,60,20
4,25,25,106,139,67,25
5,30,30,108,142,73,30
6,35,35,111,143,74,35
7,40,40,120,148,76,40
8,45,45,125,150,75,45
9,50,50,133,152,73,50
