,*,0,1,2,3,4
0,start,13,82,71,84,0
1,10,35,75,78,84,11
2,15,44,73,80,85,20
3,20,54,73,85,82,32
4,25,61,76,85,79,46
5,30,71,79,88,76,52
6,35,79,79,91,76,62
7,40,86,81,93,70,68
8,45,89,78,98,69,75
9,50,95,78,101,69,82
