,*,0,1,2,3,4
0,start,0,71,63,116,0
1,10,13,80,69,127,13
2,15,21,84,76,136,22
3,20,28,87,80,140,37
4,25,36,94,85,140,46
5,30,44,95,89,143,56
6,35,52,101,92,146,65
7,40,60,102,97,150,73
8,45,69,106,100,150,81
9,50,77,111,103,153,89
