,*,0,1,2,3,4
0,start,13,82,71,84,0
1,10,35,85,79,92,11
2,15,42,87,82,98,20
3,20,54,90,84,102,33
4,25,60,92,88,106,47
5,30,72,103,90,106,52
6,35,80,109,92,107,60
7,40,87,116,96,110,69
8,45,89,118,100,116,75
9,50,95,119,104,115,82
