,*,0,1,2,3,4
0,start,13,82,71,84,0
1,10,31,88,79,91,11
2,15,38,90,81,95,18
3,20,43,91,84,103,29
4,25,49,94,86,106,38
5,30,61,97,90,109,49
6,35,68,100,94,114,58
7,40,75,110,97,116,62
8,45,78,113,100,120,68
9,50,87,120,103,123,77
